" Date","C1 Open","C1 Low","C1 High","C1 Close","C1 SMA (50D)","C1 SMA (200D)"
05-01-1912,"64.09 ","64.09 ","64.09 ","64.09 ","",""
07-01-1912,"54.61 ","54.61 ","54.61 ","54.61 ","",""
08-01-1912,"52.79 ","52.79 ","52.79 ","52.79 ","",""
10-01-1912,"54.25 ","54.25 ","54.25 ","54.25 ","",""
11-01-1912,"59.72 ","59.72 ","59.72 ","59.72 ","",""
01-01-1913,"64.82 ","64.82 ","64.82 ","64.82 ","",""
04-01-1913,"81.22 ","81.22 ","81.22 ","81.22 ","",""
05-01-1913,"80.49 ","80.49 ","80.49 ","80.49 ","",""
07-01-1913,"71.74 ","71.74 ","71.74 ","71.74 ","",""
08-01-1913,"71.01 ","71.01 ","71.01 ","71.01 ","",""
09-01-1913,"68.46 ","68.46 ","68.46 ","68.46 ","",""
10-01-1913,"75.02 ","75.02 ","75.02 ","75.02 ","",""
12-01-1913,"80.13 ","80.13 ","80.13 ","80.13 ","",""
01-01-1914,"82.68 ","82.68 ","82.68 ","82.68 ","",""
04-01-1914,"74.29 ","74.29 ","74.29 ","74.29 ","",""
05-01-1914,"80.85 ","80.85 ","80.85 ","80.85 ","",""
06-01-1914,"77.94 ","77.94 ","77.94 ","77.94 ","",""
07-01-1914,"76.48 ","76.48 ","76.48 ","76.48 ","",""
09-01-1914,"74.66 ","74.66 ","74.66 ","74.66 ","",""
10-01-1914,"77.94 ","77.94 ","77.94 ","77.94 ","",""
12-01-1914,"88.14 ","88.14 ","88.14 ","88.14 ","",""
01-01-1915,"88.87 ","88.87 ","88.87 ","88.87 ","",""
02-01-1915,"87.05 ","87.05 ","87.05 ","87.05 ","",""
03-01-1915,"81.22 ","81.22 ","81.22 ","81.22 ","",""
04-01-1915,"77.94 ","77.94 ","77.94 ","77.94 ","",""
06-01-1915,"75.02 ","75.02 ","75.02 ","75.02 ","",""
07-01-1915,"74.29 ","74.29 ","74.29 ","74.29 ","",""
09-01-1915,"73.93 ","73.93 ","73.93 ","73.93 ","",""
10-01-1915,"81.58 ","81.58 ","81.58 ","81.58 ","",""
11-01-1915,"83.04 ","83.04 ","83.04 ","83.04 ","",""
12-01-1915,"85.23 ","85.23 ","85.23 ","85.23 ","",""
02-01-1916,"83.04 ","83.04 ","83.04 ","83.04 ","",""
03-01-1916,"91.79 ","91.79 ","91.79 ","91.79 ","",""
05-01-1916,"99.44 ","99.44 ","99.44 ","99.44 ","",""
06-01-1916,"104.54 ","104.54 ","104.54 ","104.54 ","",""
08-01-1916,"131.52 ","131.52 ","131.52 ","131.52 ","",""
09-01-1916,"108.55 ","108.55 ","108.55 ","108.55 ","",""
11-01-1916,"160.31 ","160.31 ","160.31 ","160.31 ","",""
12-01-1916,"168.33 ","168.33 ","168.33 ","168.33 ","",""
01-01-1917,"186.91 ","186.91 ","186.91 ","186.91 ","",""
02-01-1917,"211.33 ","211.33 ","211.33 ","211.33 ","",""
03-01-1917,"217.53 ","217.53 ","217.53 ","217.53 ","",""
05-01-1917,"233.20 ","233.20 ","233.20 ","233.20 ","",""
06-01-1917,"225.91 ","225.91 ","225.91 ","225.91 ","",""
08-01-1917,"213.52 ","213.52 ","213.52 ","213.52 ","",""
10-01-1917,"198.94 ","198.94 ","198.94 ","198.94 ","",""
11-01-1917,"198.58 ","198.58 ","198.58 ","198.58 ","",""
01-01-1918,"189.47 ","189.47 ","189.47 ","189.47 ","",""
02-01-1918,"189.83 ","189.83 ","189.83 ","189.83 ","",""
03-01-1918,"187.28 ","187.28 ","187.28 ","187.28 ","110.39 ",""
04-01-1918,"177.80 ","177.80 ","177.80 ","177.80 ","112.66 ",""
05-01-1918,"176.34 ","176.34 ","176.34 ","176.34 ","115.10 ",""
07-01-1918,"148.65 ","148.65 ","148.65 ","148.65 ","117.02 ",""
08-01-1918,"160.31 ","160.31 ","160.31 ","160.31 ","119.14 ",""
10-01-1918,"168.69 ","168.69 ","168.69 ","168.69 ","121.32 ",""
11-01-1918,"183.27 ","183.27 ","183.27 ","183.27 ","123.69 ",""
01-01-1919,"201.49 ","201.49 ","201.49 ","201.49 ","126.09 ",""
04-01-1919,"190.19 ","190.19 ","190.19 ","190.19 ","128.29 ",""
05-01-1919,"190.92 ","190.92 ","190.92 ","190.92 ","130.67 ",""
07-01-1919,"167.60 ","167.60 ","167.60 ","167.60 ","132.60 ",""
08-01-1919,"169.06 ","169.06 ","169.06 ","169.06 ","134.61 ",""
09-01-1919,"179.99 ","179.99 ","179.99 ","179.99 ","136.71 ",""
10-01-1919,"196.39 ","196.39 ","196.39 ","196.39 ","139.04 ",""
12-01-1919,"202.95 ","202.95 ","202.95 ","202.95 ","141.44 ",""
01-01-1920,"204.04 ","204.04 ","204.04 ","204.04 ","144.04 ",""
03-01-1920,"181.81 ","181.81 ","181.81 ","181.81 ","146.06 ",""
04-01-1920,"150.10 ","150.10 ","150.10 ","150.10 ","147.50 ",""
06-01-1920,"122.04 ","122.04 ","122.04 ","122.04 ","148.41 ",""
07-01-1920,"107.82 ","107.82 ","107.82 ","107.82 ","149.07 ",""
09-01-1920,"75.02 ","75.02 ","75.02 ","75.02 ","149.02 ",""
10-01-1920,"68.10 ","68.10 ","68.10 ","68.10 ","148.62 ",""
11-01-1920,"68.83 ","68.83 ","68.83 ","68.83 ","148.21 ",""
12-01-1920,"61.17 ","61.17 ","61.17 ","61.17 ","147.70 ",""
02-01-1921,"64.82 ","64.82 ","64.82 ","64.82 ","147.37 ",""
03-01-1921,"64.09 ","64.09 ","64.09 ","64.09 ","147.09 ",""
04-01-1921,"61.90 ","61.90 ","61.90 ","61.90 ","146.83 ",""
06-01-1921,"57.16 ","57.16 ","57.16 ","57.16 ","146.49 ",""
07-01-1921,"53.16 ","53.16 ","53.16 ","53.16 ","146.07 ",""
08-01-1921,"52.79 ","52.79 ","52.79 ","52.79 ","145.50 ",""
09-01-1921,"54.61 ","54.61 ","54.61 ","54.61 ","144.93 ",""
11-01-1921,"58.26 ","58.26 ","58.26 ","58.26 ","144.39 ",""
12-01-1921,"61.54 ","61.54 ","61.54 ","61.54 ","143.96 ",""
02-01-1922,"65.18 ","65.18 ","65.18 ","65.18 ","143.43 ",""
03-01-1922,"68.46 ","68.46 ","68.46 ","68.46 ","142.81 ",""
05-01-1922,"70.29 ","70.29 ","70.29 ","70.29 ","142.12 ",""
06-01-1922,"74.66 ","74.66 ","74.66 ","74.66 ","140.98 ",""
08-01-1922,"78.30 ","78.30 ","78.30 ","78.30 ","140.38 ",""
09-01-1922,"77.94 ","77.94 ","77.94 ","77.94 ","138.73 ",""
11-01-1922,"83.41 ","83.41 ","83.41 ","83.41 ","137.03 ",""
12-01-1922,"83.41 ","83.41 ","83.41 ","83.41 ","134.96 ",""
01-01-1923,"86.69 ","86.69 ","86.69 ","86.69 ","132.47 ",""
02-01-1923,"89.24 ","89.24 ","89.24 ","89.24 ","129.90 ",""
03-01-1923,"95.07 ","95.07 ","95.07 ","95.07 ","127.14 ",""
05-01-1923,"95.43 ","95.43 ","95.43 ","95.43 ","124.53 ",""
06-01-1923,"104.54 ","104.54 ","104.54 ","104.54 ","122.35 ",""
08-01-1923,"97.98 ","97.98 ","97.98 ","97.98 ","120.33 ",""
10-01-1923,"83.04 ","83.04 ","83.04 ","83.04 ","118.02 ",""
11-01-1923,"82.68 ","82.68 ","82.68 ","82.68 ","115.89 ",""
01-01-1924,"97.62 ","97.62 ","97.62 ","97.62 ","114.04 ",""
02-01-1924,"101.63 ","101.63 ","101.63 ","101.63 ","112.33 ",""
04-01-1924,"107.46 ","107.46 ","107.46 ","107.46 ","110.92 ",""
05-01-1924,"128.96 ","128.96 ","128.96 ","128.96 ","109.98 ",""
07-01-1924,"132.61 ","132.61 ","132.61 ","132.61 ","109.65 ",""
08-01-1924,"132.24 ","132.24 ","132.24 ","132.24 ","109.09 ",""
09-01-1924,"131.88 ","131.88 ","131.88 ","131.88 ","108.36 ",""
10-01-1924,"134.07 ","134.07 ","134.07 ","134.07 ","107.37 ",""
12-01-1924,"129.33 ","129.33 ","129.33 ","129.33 ","105.93 ",""
01-01-1925,"128.96 ","128.96 ","128.96 ","128.96 ","104.70 ",""
04-01-1925,"113.29 ","113.29 ","113.29 ","113.29 ","103.15 ",""
05-01-1925,"106.37 ","106.37 ","106.37 ","106.37 ","101.93 ",""
06-01-1925,"104.91 ","104.91 ","104.91 ","104.91 ","100.64 ",""
07-01-1925,"93.61 ","93.61 ","93.61 ","93.61 ","98.92 ",""
09-01-1925,"86.69 ","86.69 ","86.69 ","86.69 ","96.72 ",""
10-01-1925,"85.23 ","85.23 ","85.23 ","85.23 ","94.37 ",""
12-01-1925,"83.41 ","83.41 ","83.41 ","83.41 ","91.96 ",""
01-01-1926,"83.04 ","83.04 ","83.04 ","83.04 ","89.98 ",""
02-01-1926,"81.95 ","81.95 ","81.95 ","81.95 ","88.62 ",""
03-01-1926,"82.31 ","82.31 ","82.31 ","82.31 ","87.82 ",""
04-01-1926,"82.68 ","82.68 ","82.68 ","82.68 ","87.32 ",""
06-01-1926,"85.23 ","85.23 ","85.23 ","85.23 ","87.52 ",""
07-01-1926,"85.59 ","85.59 ","85.59 ","85.59 ","87.87 ",""
09-01-1926,"81.58 ","81.58 ","81.58 ","81.58 ","88.13 ",""
10-01-1926,"80.85 ","80.85 ","80.85 ","80.85 ","88.52 ",""
11-01-1926,"80.13 ","80.13 ","80.13 ","80.13 ","88.83 ",""
12-01-1926,"81.95 ","81.95 ","81.95 ","81.95 ","89.19 ",""
02-01-1927,"94.70 ","94.70 ","94.70 ","94.70 ","89.84 ",""
03-01-1927,"95.43 ","95.43 ","95.43 ","95.43 ","90.61 ",""
04-01-1927,"109.65 ","109.65 ","109.65 ","109.65 ","91.74 ",""
06-01-1927,"114.39 ","114.39 ","114.39 ","114.39 ","92.97 ",""
07-01-1927,"115.11 ","115.11 ","115.11 ","115.11 ","94.18 ",""
08-01-1927,"94.70 ","94.70 ","94.70 ","94.70 ","94.91 ",""
