" Date","W1 Open","W1 Low","W1 High","W1 Close","W1 SMA (50D)","W1 SMA (200D)"
09-21-1977,"242.25 ","241.50 ","245.00 ","245.00 ","",""
09-22-1977,"253.38 ","249.25 ","253.38 ","249.50 ","",""
09-23-1977,"248.75 ","248.50 ","252.00 ","251.25 ","",""
09-26-1977,"249.25 ","247.75 ","254.00 ","253.00 ","",""
09-27-1977,"252.13 ","251.00 ","253.00 ","251.50 ","",""
09-28-1977,"251.25 ","248.00 ","252.75 ","249.00 ","",""
09-29-1977,"249.75 ","249.25 ","251.50 ","250.75 ","",""
09-30-1977,"252.75 ","251.50 ","253.00 ","252.25 ","",""
10-03-1977,"252.25 ","251.50 ","257.75 ","257.50 ","",""
10-04-1977,"258.63 ","256.50 ","261.25 ","258.25 ","",""
10-05-1977,"258.25 ","256.00 ","259.50 ","256.25 ","",""
10-06-1977,"257.00 ","256.50 ","258.25 ","256.75 ","",""
10-07-1977,"255.75 ","252.50 ","257.75 ","253.00 ","",""
10-10-1977,"254.50 ","250.25 ","254.50 ","250.75 ","",""
10-11-1977,"249.75 ","249.00 ","250.50 ","249.50 ","",""
10-12-1977,"248.38 ","245.50 ","248.75 ","245.75 ","",""
10-13-1977,"242.75 ","241.00 ","245.75 ","245.25 ","",""
10-14-1977,"245.75 ","244.50 ","248.75 ","248.25 ","",""
10-17-1977,"248.75 ","247.50 ","250.50 ","249.50 ","",""
10-18-1977,"250.25 ","248.25 ","250.75 ","249.75 ","",""
10-19-1977,"250.13 ","247.25 ","250.25 ","247.25 ","",""
10-20-1977,"246.88 ","246.50 ","249.25 ","247.25 ","",""
10-21-1977,"247.63 ","247.00 ","250.00 ","249.25 ","",""
10-24-1977,"251.50 ","250.50 ","253.50 ","252.00 ","",""
10-25-1977,"252.25 ","249.75 ","252.50 ","250.75 ","",""
10-26-1977,"251.13 ","250.25 ","256.00 ","255.75 ","",""
10-27-1977,"256.25 ","256.00 ","260.00 ","257.75 ","",""
10-28-1977,"257.63 ","257.50 ","263.00 ","258.50 ","",""
10-31-1977,"259.50 ","257.75 ","261.00 ","259.00 ","",""
11-01-1977,"259.75 ","257.25 ","261.50 ","261.25 ","",""
11-02-1977,"268.50 ","264.75 ","269.00 ","265.75 ","",""
11-03-1977,"264.25 ","262.25 ","265.75 ","264.00 ","",""
11-04-1977,"264.13 ","263.50 ","269.00 ","266.75 ","",""
11-07-1977,"268.25 ","266.75 ","269.75 ","269.00 ","",""
11-08-1977,"267.50 ","266.50 ","271.25 ","267.25 ","",""
11-09-1977,"269.63 ","267.00 ","269.75 ","267.75 ","",""
11-10-1977,"268.88 ","268.25 ","269.50 ","269.00 ","",""
11-11-1977,"270.25 ","268.00 ","270.50 ","270.25 ","",""
11-14-1977,"270.00 ","269.00 ","274.00 ","272.50 ","",""
11-15-1977,"274.13 ","274.00 ","279.50 ","279.00 ","",""
11-16-1977,"280.88 ","279.75 ","283.50 ","282.25 ","",""
11-17-1977,"279.75 ","277.00 ","280.00 ","277.25 ","",""
11-18-1977,"277.50 ","276.75 ","281.25 ","281.00 ","",""
11-21-1977,"281.50 ","276.75 ","283.50 ","277.00 ","",""
11-22-1977,"277.50 ","272.75 ","277.50 ","272.75 ","",""
11-23-1977,"271.50 ","270.50 ","274.00 ","271.75 ","",""
11-25-1977,"273.00 ","273.00 ","275.50 ","275.00 ","",""
11-28-1977,"277.00 ","267.50 ","277.00 ","267.50 ","",""
11-29-1977,"268.25 ","265.00 ","269.50 ","269.00 ","",""
11-30-1977,"267.50 ","263.50 ","268.75 ","263.75 ","259.80 ",""
12-01-1977,"263.50 ","262.00 ","268.00 ","266.75 ","260.24 ",""
12-02-1977,"268.50 ","265.00 ","268.50 ","265.00 ","260.55 ",""
12-05-1977,"266.00 ","256.50 ","266.25 ","256.50 ","260.65 ",""
12-06-1977,"256.75 ","255.50 ","257.25 ","257.00 ","260.73 ",""
12-07-1977,"258.63 ","258.50 ","261.75 ","259.75 ","260.89 ",""
12-08-1977,"261.25 ","260.25 ","263.00 ","261.25 ","261.14 ",""
12-09-1977,"262.50 ","260.00 ","262.50 ","260.00 ","261.32 ",""
12-12-1977,"258.50 ","253.75 ","258.75 ","254.00 ","261.36 ",""
12-13-1977,"255.25 ","253.75 ","257.00 ","257.00 ","261.35 ",""
12-14-1977,"257.00 ","255.25 ","257.00 ","255.25 ","261.29 ",""
12-15-1977,"254.00 ","254.00 ","257.00 ","256.50 ","261.30 ",""
12-16-1977,"255.25 ","255.25 ","257.50 ","255.50 ","261.27 ",""
12-19-1977,"257.00 ","255.00 ","257.00 ","255.50 ","261.32 ",""
12-20-1977,"256.50 ","256.50 ","258.25 ","258.00 ","261.46 ",""
12-21-1977,"268.25 ","267.50 ","269.50 ","269.50 ","261.87 ",""
12-22-1977,"270.13 ","268.75 ","271.25 ","271.00 ","262.37 ",""
12-23-1977,"274.00 ","273.00 ","275.50 ","274.50 ","262.95 ",""
12-27-1977,"281.50 ","277.00 ","292.00 ","280.00 ","263.59 ",""
12-28-1977,"281.00 ","277.25 ","283.25 ","283.00 ","264.26 ",""
12-29-1977,"282.00 ","279.25 ","282.50 ","280.25 ","264.87 ",""
12-30-1977,"279.25 ","278.50 ","280.00 ","279.25 ","265.51 ",""
01-03-1978,"280.25 ","274.75 ","280.75 ","275.00 ","266.06 ",""
