" Date","S1 Open","S1 Low","S1 High","S1 Close","S1 SMA (50D)","S1 SMA (200D)"
09-22-1977,"556.00 ","545.00 ","569.00 ","546.40 ","",""
09-23-1977,"546.20 ","545.00 ","557.00 ","551.00 ","",""
09-26-1977,"542.20 ","536.00 ","547.00 ","536.60 ","",""
09-27-1977,"532.00 ","524.40 ","535.40 ","526.40 ","",""
09-28-1977,"529.40 ","525.40 ","533.00 ","528.20 ","",""
09-29-1977,"532.60 ","532.00 ","545.40 ","544.00 ","",""
09-30-1977,"550.00 ","533.00 ","554.00 ","534.20 ","",""
10-03-1977,"529.60 ","523.00 ","539.00 ","535.60 ","",""
10-04-1977,"538.20 ","536.00 ","548.00 ","542.00 ","",""
10-05-1977,"539.40 ","534.00 ","547.40 ","535.60 ","",""
10-06-1977,"539.00 ","538.40 ","552.60 ","549.00 ","",""
10-07-1977,"548.40 ","545.00 ","557.40 ","552.40 ","",""
10-10-1977,"555.40 ","545.00 ","558.00 ","546.40 ","",""
10-11-1977,"546.70 ","541.40 ","547.40 ","543.20 ","",""
10-12-1977,"539.00 ","529.40 ","540.00 ","530.20 ","",""
10-13-1977,"528.20 ","522.00 ","533.00 ","522.40 ","",""
10-14-1977,"518.00 ","512.40 ","519.40 ","513.60 ","",""
10-17-1977,"516.00 ","510.40 ","520.00 ","514.40 ","",""
10-18-1977,"517.60 ","513.40 ","519.40 ","518.20 ","",""
10-19-1977,"519.70 ","517.00 ","524.00 ","517.40 ","",""
10-20-1977,"516.40 ","508.40 ","517.00 ","509.40 ","",""
10-21-1977,"508.40 ","508.00 ","514.00 ","512.60 ","",""
10-24-1977,"520.00 ","518.00 ","532.00 ","530.40 ","",""
10-25-1977,"532.00 ","525.40 ","534.00 ","526.60 ","",""
10-26-1977,"527.40 ","525.40 ","539.00 ","537.40 ","",""
10-27-1977,"536.10 ","530.00 ","541.00 ","530.40 ","",""
10-28-1977,"530.50 ","529.40 ","541.40 ","533.00 ","",""
10-31-1977,"538.40 ","538.00 ","553.00 ","550.60 ","",""
11-01-1977,"550.40 ","548.40 ","573.00 ","569.20 ","",""
11-02-1977,"586.00 ","579.40 ","592.00 ","583.60 ","",""
11-03-1977,"577.40 ","565.00 ","578.40 ","566.00 ","",""
11-04-1977,"563.40 ","562.00 ","577.00 ","574.40 ","",""
11-07-1977,"578.40 ","578.00 ","599.40 ","593.40 ","",""
11-08-1977,"592.00 ","582.00 ","604.40 ","583.20 ","",""
11-09-1977,"593.40 ","586.20 ","598.00 ","588.40 ","",""
11-10-1977,"594.00 ","585.40 ","595.00 ","589.00 ","",""
11-11-1977,"591.20 ","582.00 ","594.40 ","586.60 ","",""
11-14-1977,"582.20 ","581.00 ","597.60 ","592.60 ","",""
11-15-1977,"601.40 ","601.00 ","622.00 ","610.60 ","",""
11-16-1977,"615.00 ","608.00 ","620.00 ","616.20 ","",""
11-17-1977,"609.40 ","603.00 ","612.00 ","607.20 ","",""
11-18-1977,"607.00 ","607.00 ","615.00 ","610.60 ","",""
11-21-1977,"630.60 ","609.00 ","634.40 ","612.60 ","",""
11-22-1977,"613.00 ","597.40 ","613.00 ","598.40 ","",""
11-23-1977,"597.40 ","589.40 ","603.00 ","594.40 ","",""
11-25-1977,"600.40 ","600.00 ","613.00 ","611.40 ","",""
11-28-1977,"617.20 ","591.00 ","621.00 ","591.60 ","",""
11-29-1977,"589.60 ","576.00 ","596.00 ","593.20 ","",""
11-30-1977,"591.40 ","585.00 ","597.40 ","585.60 ","",""
12-01-1977,"583.40 ","581.00 ","590.00 ","587.40 ","559.26 ",""
12-02-1977,"592.00 ","589.00 ","597.40 ","590.00 ","560.14 ",""
12-05-1977,"592.40 ","582.00 ","596.00 ","582.40 ","560.76 ",""
12-06-1977,"585.40 ","577.00 ","587.00 ","585.40 ","561.74 ",""
12-07-1977,"588.40 ","586.00 ","596.00 ","594.40 ","563.10 ",""
12-08-1977,"600.60 ","598.00 ","610.40 ","606.60 ","564.67 ",""
12-09-1977,"611.00 ","602.00 ","613.00 ","604.40 ","565.88 ",""
12-12-1977,"598.40 ","585.00 ","599.00 ","585.40 ","566.90 ",""
12-13-1977,"584.40 ","582.40 ","591.00 ","590.40 ","568.00 ",""
12-14-1977,"593.10 ","585.00 ","595.40 ","587.00 ","568.90 ",""
12-15-1977,"585.60 ","584.00 ","600.00 ","598.60 ","570.16 ",""
12-16-1977,"597.40 ","591.00 ","602.00 ","592.40 ","571.02 ",""
12-19-1977,"597.00 ","588.40 ","601.00 ","595.40 ","571.88 ",""
12-20-1977,"596.70 ","593.00 ","599.00 ","598.40 ","572.92 ",""
12-21-1977,"599.40 ","597.00 ","604.00 ","602.20 ","574.10 ",""
12-22-1977,"603.10 ","600.00 ","612.00 ","611.40 ","575.73 ",""
12-23-1977,"611.20 ","607.00 ","613.00 ","609.40 ","577.47 ",""
12-27-1977,"609.40 ","602.40 ","616.40 ","603.00 ","579.26 ",""
12-28-1977,"602.60 ","597.00 ","604.00 ","597.40 ","580.92 ",""
12-29-1977,"596.20 ","594.00 ","600.00 ","594.40 ","582.44 ",""
12-30-1977,"593.40 ","592.40 ","599.00 ","594.60 ","583.98 ",""
01-03-1978,"594.20 ","588.00 ","604.40 ","588.60 ","585.57 ",""
01-04-1978,"590.40 ","587.00 ","593.40 ","591.40 ","587.14 ",""
01-05-1978,"591.00 ","582.40 ","593.00 ","585.20 ","588.24 ",""
01-06-1978,"586.20 ","581.40 ","590.00 ","586.40 ","589.44 ",""
01-09-1978,"586.20 ","585.40 ","591.00 ","587.60 ","590.44 ",""
01-10-1978,"589.70 ","589.40 ","598.40 ","597.60 ","591.78 ",""
01-11-1978,"597.20 ","595.40 ","600.00 ","596.00 ","593.04 ",""
01-12-1978,"595.60 ","593.00 ","600.00 ","596.20 ","593.96 ",""
01-13-1978,"597.20 ","593.00 ","601.40 ","593.20 ","594.44 ",""
01-16-1978,"591.60 ","579.00 ","592.00 ","579.40 ","594.35 ",""
01-17-1978,"567.00 ","550.20 ","567.00 ","555.00 ","594.13 ",""
01-18-1978,"560.00 ","554.00 ","562.00 ","556.20 ","593.77 ",""
01-19-1978,"555.20 ","553.00 ","558.00 ","554.40 ","592.99 ",""
01-20-1978,"556.40 ","555.00 ","558.40 ","557.00 ","592.46 ",""
01-23-1978,"560.20 ","559.00 ","574.00 ","572.60 ","592.15 ",""
01-24-1978,"572.00 ","566.40 ","573.00 ","569.40 ","591.76 ",""
