" Date","CT1 Open","CT1 Low","CT1 High","CT1 Close","CT1 SMA (50D)","CT1 SMA (200D)"
09-01-1913,"12.47 ","12.47 ","12.47 ","12.47 ","",""
12-01-1913,"7.35 ","7.35 ","7.35 ","7.35 ","",""
06-01-1914,"7.35 ","7.35 ","7.35 ","7.35 ","",""
09-01-1914,"7.35 ","7.35 ","7.35 ","7.35 ","",""
12-01-1914,"11.22 ","11.22 ","11.22 ","11.22 ","",""
03-01-1915,"11.22 ","11.22 ","11.22 ","11.22 ","",""
06-01-1915,"11.22 ","11.22 ","11.22 ","11.22 ","",""
09-01-1915,"11.22 ","11.22 ","11.22 ","11.22 ","",""
12-01-1915,"17.36 ","17.36 ","17.36 ","17.36 ","",""
03-01-1916,"17.36 ","17.36 ","17.36 ","17.36 ","",""
06-01-1916,"17.36 ","17.36 ","17.36 ","17.36 ","",""
09-01-1916,"17.36 ","17.36 ","17.36 ","17.36 ","",""
12-01-1916,"27.09 ","27.09 ","27.09 ","27.09 ","",""
03-01-1917,"27.09 ","27.09 ","27.09 ","27.09 ","",""
06-01-1917,"27.09 ","27.09 ","27.09 ","27.09 ","",""
03-01-1918,"28.88 ","28.88 ","28.88 ","28.88 ","",""
09-01-1919,"35.34 ","35.34 ","35.34 ","35.34 ","",""
12-01-1919,"15.89 ","15.89 ","15.89 ","15.89 ","",""
03-01-1920,"15.89 ","15.89 ","15.89 ","15.89 ","",""
06-01-1920,"15.89 ","15.89 ","15.89 ","15.89 ","",""
09-01-1920,"15.89 ","15.89 ","15.89 ","15.89 ","",""
12-01-1920,"17.00 ","17.00 ","17.00 ","17.00 ","",""
03-01-1921,"17.00 ","17.00 ","17.00 ","17.00 ","",""
06-01-1921,"17.00 ","17.00 ","17.00 ","17.00 ","",""
09-01-1921,"17.00 ","17.00 ","17.00 ","17.00 ","",""
12-01-1921,"22.88 ","22.88 ","22.88 ","22.88 ","",""
03-01-1922,"22.88 ","22.88 ","22.88 ","22.88 ","",""
06-01-1922,"22.88 ","22.88 ","22.88 ","22.88 ","",""
09-01-1922,"22.88 ","22.88 ","22.88 ","22.88 ","",""
12-01-1922,"28.69 ","28.69 ","28.69 ","28.69 ","",""
03-01-1923,"28.69 ","28.69 ","28.69 ","28.69 ","",""
06-01-1923,"28.69 ","28.69 ","28.69 ","28.69 ","",""
09-01-1924,"22.91 ","22.91 ","22.91 ","22.91 ","",""
12-01-1924,"19.62 ","19.62 ","19.62 ","19.62 ","",""
06-01-1925,"19.62 ","19.62 ","19.62 ","19.62 ","",""
09-01-1925,"19.62 ","19.62 ","19.62 ","19.62 ","",""
12-01-1925,"12.49 ","12.49 ","12.49 ","12.49 ","",""
03-01-1926,"12.49 ","12.49 ","12.49 ","12.49 ","",""
06-01-1926,"12.49 ","12.49 ","12.49 ","12.49 ","",""
09-01-1926,"12.49 ","12.49 ","12.49 ","12.49 ","",""
12-01-1926,"20.20 ","20.20 ","20.20 ","20.20 ","",""
03-01-1927,"20.20 ","20.20 ","20.20 ","20.20 ","",""
06-01-1927,"20.20 ","20.20 ","20.20 ","20.20 ","",""
09-01-1927,"20.20 ","20.20 ","20.20 ","20.20 ","",""
12-01-1927,"17.98 ","17.98 ","17.98 ","17.98 ","",""
03-01-1928,"17.98 ","17.98 ","17.98 ","17.98 ","",""
06-01-1928,"17.98 ","17.98 ","17.98 ","17.98 ","",""
03-01-1929,"16.78 ","16.78 ","16.78 ","16.78 ","",""
09-01-1930,"9.46 ","9.46 ","9.46 ","9.46 ","",""
12-01-1930,"5.66 ","5.66 ","5.66 ","5.66 ","18.04 ",""
06-01-1931,"5.66 ","5.66 ","5.66 ","5.66 ","17.90 ",""
09-01-1931,"5.66 ","5.66 ","5.66 ","5.66 ","17.87 ",""
12-01-1931,"6.52 ","6.52 ","6.52 ","6.52 ","17.85 ",""
03-01-1932,"6.52 ","6.52 ","6.52 ","6.52 ","17.83 ",""
06-01-1932,"6.52 ","6.52 ","6.52 ","6.52 ","17.74 ",""
09-01-1932,"6.52 ","6.52 ","6.52 ","6.52 ","17.65 ",""
12-01-1932,"10.17 ","10.17 ","10.17 ","10.17 ","17.62 ",""
03-01-1933,"10.17 ","10.17 ","10.17 ","10.17 ","17.60 ",""
06-01-1933,"10.17 ","10.17 ","10.17 ","10.17 ","17.46 ",""
09-01-1933,"10.17 ","10.17 ","10.17 ","10.17 ","17.32 ",""
12-01-1933,"12.36 ","12.36 ","12.36 ","12.36 ","17.22 ",""
03-01-1934,"12.36 ","12.36 ","12.36 ","12.36 ","17.12 ",""
06-01-1934,"12.36 ","12.36 ","12.36 ","12.36 ","16.82 ",""
03-01-1935,"11.09 ","11.09 ","11.09 ","11.09 ","16.50 ",""
06-01-1936,"12.36 ","12.36 ","12.36 ","12.36 ","16.21 ",""
09-01-1936,"12.36 ","12.36 ","12.36 ","12.36 ","15.88 ",""
12-01-1936,"8.41 ","8.41 ","8.41 ","8.41 ","15.34 ",""
03-01-1937,"8.41 ","8.41 ","8.41 ","8.41 ","15.19 ",""
06-01-1937,"8.41 ","8.41 ","8.41 ","8.41 ","15.04 ",""
09-01-1937,"8.41 ","8.41 ","8.41 ","8.41 ","14.89 ",""
12-01-1937,"8.60 ","8.60 ","8.60 ","8.60 ","14.74 ",""
03-01-1938,"8.60 ","8.60 ","8.60 ","8.60 ","14.58 ",""
06-01-1938,"8.60 ","8.60 ","8.60 ","8.60 ","14.41 ",""
09-01-1938,"8.60 ","8.60 ","8.60 ","8.60 ","14.24 ",""
12-01-1938,"9.09 ","9.09 ","9.09 ","9.09 ","14.08 ",""
03-01-1939,"9.09 ","9.09 ","9.09 ","9.09 ","13.81 ",""
06-01-1939,"9.09 ","9.09 ","9.09 ","9.09 ","13.53 ",""
09-01-1939,"9.09 ","9.09 ","9.09 ","9.09 ","13.25 ",""
12-01-1939,"9.89 ","9.89 ","9.89 ","9.89 ","12.99 ",""
03-01-1940,"9.89 ","9.89 ","9.89 ","9.89 ","12.62 ",""
09-01-1941,"17.03 ","17.03 ","17.03 ","17.03 ","12.38 ",""
12-01-1941,"19.05 ","19.05 ","19.05 ","19.05 ","12.19 ",""
